,CVE_ART,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
801,CAS00085,611.06,1649.18
802,CAS00086,379.36,1227.08
803,TP0011,433.2,1284.3
804,PT00088,323.11,470.89
805,TUE00364,165.65,775.35
806,BP00070,440.58,2104.62
807,TP0040,171.87,228.13
808,TUA00376,5099.14,9167.2
809,TJ00092,469.01,1924.99
810,TP0001,42.79,96.21
811,CBS00104,450.49,1909.61
812,PT00034,1020.51,7399.49
813,AJ00010,1081.24,2178.77
814,TUE00367,781.73,3092.27
815,TEE00017,2779.2,1657.34
816,PT00047,2575.95,5524.05
817,TUA00177,4233.54,12843.96
818,TP0012,54.8,293.2
819,RP00205,1195.0,1925.0
820,TP0005,97.49,217.51
821,TP0040,343.73,527.71
822,TU5/16X215V240W,316.45,810.55
823,TUE00105,1306.63,3650.1
824,70001694,620.99,1007.01
825,70001696,528.65,1636.35
826,CBE00041,812.15,4647.85
827,CBS00056,488.72,2238.28
828,RP00206,649.31,2550.69
829,RP00207,1180.41,5219.59
830,RP00208,595.74,2604.26
831,TUE00061,585.92,2935.68
832,BOBINA001,12894.24,26085.36
833,TEA00023,2365.62,10384.38
834,PT00033,244.91,601.29
835,CS38K2025A2D,541.35,1560.03
836,TUE00366,461.4,3803.7
837,PA00008,3161.13,11438.87
838,PA00009,3014.83,9985.17
839,PA00005,3515.54,9234.46
840,TP0002,135.14,174.86
841,TUA00464,5553.86,13689.7
842,TUE00172,5169.85,20088.3
843,TUE00247,1298.83,2546.97
844,BP00259,89.76,395.44
845,BP00260,72.34,497.96
846,BP00259,89.76,395.44
847,BP00260,72.34,497.96
848,PJ31A1I1A400,1417.21,2698.79
849,BB2X2ST,440.0,484.0
850,TUA00463,3863.23,4514.03
851,RP00165,277.5,13722.5
852,TUA00436,3995.98,5904.02
853,PT00047,2575.95,5524.05
854,TUE00061,1225.86,2295.74
855,TP0025,923.31,1146.69
856,PT00089,1131.63,3688.37
857,PJ04F1H1A400,1119.59,1807.92
858,PK04F1H1A400,1249.59,1990.42
859,TUA00438,567.27,1130.44
860,WRE-2774,378.86,3727.64
861,RM00043,193.86,3931.14
862,TUE00369,197.36,1171.82
863,BL00059,110.46,1661.54
864,BP00239,73.59,1316.41
865,BP00263,160.18,1169.82
866,EE00063,1721.28,17147.72
867,MA00021,179.31,420.69
868,P114R1AB0600,5149.29,7350.71
869,CAS00068,1806.93,3665.07
870,CAS00069,4502.25,2421.75
871,CAS00070,263.28,3912.72
872,CAS00071,1291.57,4036.43
873,70001690,1287.37,3802.63
874,70001694,736.0,1706.0
875,97020238,7848.04,23175.96
876,TUA00468,991.99,2200.01
877,TP0011,722.0,1703.0
878,TP0012,274.0,1276.0
879,TUE00368,1712.29,7051.71
880,RPISTOLA01,246.45,1913.55
881,TUA00222,335.77,879.73
882,TP0003,744.5,1105.5
883,TP0001,213.97,411.03
884,TP0003,144.73,181.27
885,TP0005,292.48,421.52
886,TP0011,432.6,1055.4
887,ECQ-00971,1587.1,2316.9
888,ECQ-00972,8744.54,35514.46
889,ECQ-00971,1496.57,2407.43
890,ECQ-00972,5804.18,23701.82
891,ECQ-01444,3376.92,8836.08
892,TP0002,125.64,184.36
893,PJ31L1H1G400,908.84,3119.16
894,TUS00125,156.55,696.45
895,TUA00175,1352.89,8085.91
896,TUA00471,301.83,838.03
897,RPISTOLA01,328.6,2551.4
898,54020219,3406.59,3986.01
899,93980461,2523.98,1613.02
900,70001691,366.02,1287.58
901,TJ00093,181.44,603.56
902,TUA00470,1884.35,4025.49
903,TUA00467,1257.6,3214.2
904,TUA00453,3389.64,8970.36
905,BN00264,164.74,705.26
906,TUA00469,2121.33,3129.95
907,BOBINA001,12900.92,26078.68
908,RP00209,73.01,1246.99
909,TP0018,72.97,410.58
910,TP0003,72.37,82.63
911,65014-40,753.85,1696.15
912,67234-15,129.51,1098.49
913,PJ06C1CHB000,31.14,630.06
914,TUA00065,1144.25,2248.25
915,TUA00066,917.05,1373.07
916,TUE00081,469.69,1808.76
917,TUE00370,1292.21,9732.79
918,CM65C1020B02,841.34,5506.66
919,TEA00044,1316.59,3479.66
920,TEE00024,3449.19,3204.81
921,AK00013,110.45,674.55
922,TUA00464,5553.86,13689.7
923,TP00007,691.62,-1.62
924,TUE00372,181.42,1393.58
925,TP0002,62.95,91.36
926,TP0001,48.2,71.8
927,BO00047,367.61,2941.07
928,BO00066,0.0,7444.77
929,47980626,1831.12,2690.88
930,TUE00371,249.45,1034.55
931,TUE00172,2754.67,22503.48
932,TP0007,210.24,457.76
933,BN00158,120.77,637.73
934,BO00044,32.46,1542.54
935,TUE00075,262.85,3488.35
936,TUE00198,146.81,1728.79
937,TP0003,78.65,76.35
938,TUE00122,682.85,2266.15
939,TJ00081,66.88,468.12
940,TP0001,48.2,76.8
941,TP0002,62.95,92.05
942,TUE00267,6587.67,-5538.7
943,TUA00472,697.4,1415.3
944,TUA00437,485.55,1484.45
945,PJ06C1CHB000,31.14,630.06
946,PT00011,3719.07,14980.93
947,TUA00258,2746.25,10318.75
948,BN00055,548.62,5424.38
949,ABRAZA01,48.02,1181.99
950,TUS00001,405.53,1710.97
951,TUS00002,409.8,1706.7
952,TP0007,1471.68,2770.32
953,TP0016,260.2,552.8
954,CBS00043,1729.33,4389.07
955,TP0005,97.49,167.59
956,TP0015,173.0,424.0
957,TUA00134,1668.85,6087.15
958,BN00265,369.86,1214.74
959,RP00212,177.06,1172.58
960,BOBINA004,5227.2,31738.36
961,RPISTOLA01,389.85,1770.15
962,BC00029,0.0,9700.0
963,TP00012,223.04,429.96
964,TUE00373,87.87,2112.13
965,TUA00009,2125.57,2246.43
966,MA00001,1444.71,2071.69
967,EE00067,721.38,3227.24
968,EE00068,886.73,1987.58
969,CBE00032,1221.56,3208.44
970,BB1 1/2X1/2-300W,506.0,418.0
971,TEE00017,4818.85,4054.23
972,TUE00374,142.04,1083.16
973,TUE00216,5244.49,10755.51
974,CBS00075,1517.55,7854.45
975,CS58K2105AA1,2868.3,14831.7
976,ECQ-00972,6288.76,23217.24
977,PT00090,7266.24,15625.36
978,TP0025,1846.35,4769.65
979,TUE00034,2964.18,7520.42
980,TJ00094,239.89,798.39
981,TUA00462,470.05,973.25
982,TUE00365,217.51,815.49
983,TK00066,39.22,255.78
984,TP0004,844.11,3015.89
985,TP0016,260.2,552.9
986,TUA00249,1216.54,2234.2
987,TP0003,78.65,146.35
988,RC00030,927.84,1328.51
989,TP0016,780.6,1415.4
990,CS34S2075A00,2887.02,6052.99
991,CS34S2100A00,2268.0,6374.0
992,TU5/16X230MM,452.46,1547.35
993,47980590,693.77,1106.23
994,93980461,1261.99,806.51
995,93980465,1165.13,2047.87
996,54020219,4271.95,5584.85
997,PT00047,6273.1,9926.9
998,P25601AB0600,521.55,553.76
999,CS12N1050A00,1016.9,5011.1
1000,TUS00126,42.8,455.09
1001,BC00010,2039.25,5160.75
1002,RB00003,200.26,1093.74
1003,RB00010,1789.82,-495.82
1004,CS12F1040A00,204.63,920.37
1005,TP0016,520.4,1105.81
1006,CAS00084,1240.49,5639.02
1007,CAS00085,203.69,738.08
1008,CAS00086,126.54,542.81
1009,BP00268,136.7,1589.3
1010,TUA00098,388.11,657.2
1011,BP00268,136.7,1666.3
1012,TUA00468,991.99,2200.01
1013,ECQ-00972,6632.15,22873.85
1014,ECQ-00974,1388.82,2341.18
1015,TP0011,144.4,340.6
1016,TUE00081,873.18,3683.72
1017,TUA00473,176.15,641.74
1018,BB1 1/2X1/2-300W,253.0,132.0
1019,TP0004,771.29,3088.71
1020,TUE00161,337.18,5015.87
1021,CS12J1075A00,429.99,2200.34
1022,CAE00045,633.45,2484.55
1023,TP0008,531.27,340.17
1024,TP0010,251.36,449.46
1025,TP0012,57.6,269.99
1026,CAS00063,1701.62,10798.38
1027,BB1 1/2X1/2-300W,253.0,209.0
1028,TUE00376,28.41,567.59
1029,PK31A1I1A000,2865.87,4129.13
1030,TUS00005,505.21,1892.09
1031,TP0003,1101.12,998.88
1032,TP0008,1593.82,1406.18
1033,RP00213,91.4,868.94
1034,RP00214,13.33,758.67
1035,TUA00474,1139.58,3832.72
1036,TUE00094,281.46,1103.54
1037,TUA00441,406.12,1442.78
1038,TUA00027,682.82,1736.78
1039,TP00007,697.83,-7.83
1040,CS38H1020A00,136.5,921.28
1041,TU5/16X230MM,226.23,773.68
1042,TU5/16X230MM,226.23,773.68
1043,TUA00009,1911.36,2460.64
1044,TP0005,97.49,166.51
1045,TUE00375,896.15,1764.75
1046,TUE00378,9353.62,13063.98
1047,TP0003,78.65,76.35
1048,TUA00475,197.53,701.47
1049,TUS00127,72.88,483.82
1050,PJ31G1AB0600,400.95,702.5
1051,TUA00476,159.65,770.35
1052,TEA00105,1108.97,1426.9
1053,TUA00033,1170.39,3759.61
1054,TUS00001,392.91,1723.59
1055,TUS00002,863.31,3369.69
1056,TEA00017,3013.94,2494.06
1057,TUE00379,239.08,675.92
1058,TUE00377,309.63,1837.32
1059,TP00008,730.4,1329.6
1060,TUE00063,876.79,3874.21
1061,TUE00129,523.53,1557.32
1062,TUE00334,164.55,1734.63
1063,RP00001,33387.05,-30088.77
1064,TP0003,78.65,71.35
1065,BB1 1/2X1/2-300W,253.0,189.75
1066,BB2X2ST,220.0,242.0
1067,TUA00459,345.97,819.98
1068,TUA00459,345.97,819.98
1069,CAS00051,286.9,2765.1
1070,CBS00007,669.24,2710.76
1071,TUE00207,685.68,929.32
1072,TUE00207,685.68,929.32
1073,TUE00207,685.68,929.32
1074,TUE00207,685.68,929.32
1075,TP0011,288.8,681.2
1076,BS00006,16025.97,53994.03
1077,BS00008,19187.82,50832.18
1078,TP0001,192.79,307.21
1079,EE00071,170.62,885.86
1080,BC00006,2233.68,1472.83
1081,BL00002,110.26,1594.8
1082,BN00145,310.7,3270.3
1083,BN00146,507.97,3292.03
1084,PT00079,477.16,802.98
1085,PT00083,5185.87,4600.13
1086,TEA00100,681.25,2978.75
1087,TUE00380,936.33,4463.67
1088,TUA00053,824.78,2433.91
1089,CS58L2050A00,621.48,1476.66
1090,PRECA003,6679.11,25520.89
1091,TUA00189,7194.25,15965.75
1092,TP0012,230.4,1029.6
1093,ECQ-00972,8663.07,35595.93
1094,TP00010,524.96,1803.56
1095,BN00266,252.21,1293.91
1096,CERAISON-14-28,60.0,5.35
1097,TP0012,356.56,1742.04
1098,TUA00247,22555.72,10526.78
1099,TP0002,188.86,276.14
1100,TUE00184,652.49,2008.21
1101,TUE00382,12146.99,22639.13
1102,TUA00436,3329.01,4920.99
1103,AK00010,131.36,1152.44
1104,EE00063,6885.12,68590.88
1105,CS58D2030A00,289.73,873.19
1106,CS12D2030A00,192.34,917.78
1107,TUA00200,6402.83,21960.61
1108,TUE00383,328.39,1042.35
1109,TUA00477,273.77,744.23
1110,CS38D1017B00,266.08,1369.5
1111,CAS00013,1300.94,821.62
1112,TP0016,222.0,510.0
1113,TP0025,90.91,119.09
1114,TP0026,113.59,191.91
1115,TP0011,577.6,1362.4
1116,TEA00106,413.55,551.85
1117,TP0007,1182.99,1847.01
1118,TP0026,1136.37,2843.63
1119,BL00060,187.54,970.39
1120,TUE00381,1088.23,3411.77
1121,BP00183,133.59,1265.45
1122,BB2X2ST,220.0,242.0
1123,TP0012,178.63,720.77
1124,TP0002,125.91,184.09
1125,RP00216,0.0,2533.27
1126,TUA00175,1352.89,8085.91
1127,BP00269,49.16,723.44
1128,BB2X2ST,880.0,968.28
1129,EE00072,0.0,3583.98
1130,BN00267,415.38,1448.62
1131,BN00268,253.04,1208.56
1132,RP00220,329.0,1582.0
1133,TUA00124,1800.09,2917.26
1134,TP0011,1444.0,3406.0
1135,TUA00478,2131.82,4632.94
1136,47980590,2392.5,-592.5
1137,47980626,421.11,709.39
1138,BP00259,89.76,586.21
1139,BP00260,72.34,657.83
1140,TUE00112,5213.9,11556.1
1141,TUE00113,8135.45,4089.55
1142,CS38H1040A11,0.0,2792.0
1143,ECQ-00972,6310.2,23195.8
1144,ECQ-01444,1921.52,7238.23
1145,TUA00475,197.53,701.47
1146,TUS00109,460.25,3256.75
1147,TUE00385,70.7,628.8
1148,TU5/16X215V240W,316.45,333.55
1149,70001691,559.81,1920.59
1150,70001693,1007.01,3142.99
1151,70001694,1247.67,2822.33
1152,70001696,1321.62,4090.88
1153,70001697,972.31,3983.69
1154,70001698,1192.74,3687.26
1155,70007685,521.21,15631.29
1156,TUE00207,1758.97,4409.63
1157,BP00270,47.84,614.73
1158,BP00271,99.37,715.7
1159,BP00272,142.2,734.78
1160,BP00273,39.85,548.15
1161,CAS00083,1314.54,6606.56
1162,CAS00084,1376.26,6611.64
1163,CAS00085,203.69,780.46
1164,CAS00086,126.29,573.18
1165,TUS00001,382.87,1733.63
1166,TUA00021,6716.37,10656.45
1167,TU5/16X203V240W,331.33,339.36
1168,TUE00386,379.55,1086.66
1169,CAS00073,494.02,5666.78
1170,CAS00074,1475.75,5514.25
1171,RP00222,67.84,417.16
1172,TUA00057,4993.3,6537.68
1173,BS00006,10806.45,31983.55
1174,RPISTOLA01,650.58,2949.42
1175,TP0003,472.05,697.95
1176,TEA00107,414.84,603.16
1177,TEA00107,829.67,1206.33
1178,BN00269,117.24,788.81
1179,TP0015,173.0,436.84
1180,TP0016,222.0,591.1
1181,TP0012,57.6,295.85
1182,TUA00063,436.67,1413.34
1183,BO00067,57.07,748.43
1184,CS12C1025A00,775.7,3648.3
1185,MR8-250-11-13,800.11,3399.89
1186,TUA00463,3863.23,5674.77
1187,CS12G1040A00,271.25,1424.95
1188,CBE00012,3016.4,11620.48
1189,CBE00040,1282.59,4853.43
1190,TUA00049,2913.27,10948.33
1191,BP00259,89.76,700.24
1192,BP00260,72.34,717.66
1193,BP00274,150.44,701.56
1194,BP00275,53.71,701.29
1195,BP00276,108.81,743.19
1196,BC00010,1416.65,5783.35
1197,TEA00108,170.55,449.65
1198,TUA00480,926.71,2357.99
1199,TUA00479,3280.08,4841.12
1200,TEA00110,166.83,575.62
1201,TUE00258,93.2,1115.05
1202,TUE00258,93.2,1115.05
1203,BC00030,5304.97,14930.23
1204,BP00277,176.5,2256.94
1205,BP00278,170.28,2375.24
1206,BN00270,350.67,1790.53
1207,BB2X2ST,1200.0,648.0
1208,TP0001,96.4,153.61
1209,CS14K2040A00,76.84,1013.16
1210,CS14L2040A00,106.65,1063.35
1211,TP0006,253.43,722.57
1212,CAS00087,1412.1,5180.34
1213,CAS00088,277.2,900.05
1214,TEA00109,145.23,456.27
1215,BL00061,1047.18,4854.27
1216,TP0008,531.27,852.13
1217,TP0009,820.82,1263.34
1218,TP0010,502.72,898.92
1219,PJ31C1C1B000,198.45,558.07
1220,EE00071,426.55,2214.65
1221,TP0003,78.68,76.32
1222,TUA00463,1931.62,2837.38
1223,RP00227,78.38,667.31
1224,TUA00481,332.12,757.23
1225,TUA00481,332.12,757.23
1226,EE00063,6885.12,68590.88
1227,TUS00048,63.09,705.41
1228,TP0002,125.91,184.09
1229,TUS00113,139.11,1107.63
1230,TP0002,62.95,90.3
1231,TP0008,531.27,852.09
1232,PJ18D2E1A410,81.99,347.26
1233,TUA00482,1414.5,4501.5
1234,CM10I2040A00,253.47,1926.53
1235,P25601AB0600,521.55,553.76
1236,TP0003,1141.15,1488.5
1237,TP0008,634.09,1201.31
1238,EE00075,544.48,8955.12
1239,TP0002,62.95,92.05
1240,TP0001,48.2,71.8
1241,CS12N1050A00,762.68,3758.32
1242,CS58O2050A00,290.03,1335.83
1243,RP00225,0.0,1364.0
1244,TP0002,251.81,368.19
1245,CAS00083,1314.54,6606.56
1246,CAS00084,963.38,4628.15
1247,CAS00085,5092.2,19511.55
1248,CAS00086,126.29,573.18
1249,TUS00016,395.3,2282.9
1250,TUS00017,449.36,2228.84
1251,TUS00018,598.95,3418.35
1252,BO00066,0.0,4963.18
1253,RP00192,0.2,17449.8
1254,TP0002,102.71,207.29
1255,TP0003,136.41,243.59
1256,TEE00017,2328.4,2803.9
1257,TUA00484,2654.96,5514.68
1258,TUE00384,18.45,467.55
1259,TUA00483,679.81,2384.29
1260,EE00077,1327.51,13102.49
1261,CBS00001,7445.6,12356.38
1262,BB1 1/2X1/2-300W,278.0,184.0
1263,TP0025,96.83,228.17
1264,BP00259,89.76,546.21
1265,BP00260,72.34,657.83
1266,PJ14R1B40A00,420.67,18.99
1267,TUA00175,1606.58,7832.22
1268,ECQ-00971,770.19,1181.81
1269,ECQ-00972,6323.81,23182.19
1270,P231E1AB0600,0.0,900.0
1271,P231J1AB0600,518.43,426.57
1272,CBS00092,5553.94,11932.46
1273,BL00062,626.65,2226.47
1274,TP0002,337.86,262.14
1275,TUE00387,202.67,3056.77
1276,TP0012,115.2,514.8
1277,TUA00325,9208.38,15791.62
1278,TUA00486,408.31,1008.79
1279,RPISTOLA01,778.18,3541.82
1280,BP00279,514.21,1212.07
1281,TU5/16X203V,1628.92,1621.08
1282,TUA00436,1664.51,2460.49
1283,TUS00128,197.83,412.17
1284,TUS00129,178.15,431.85
1285,TUS00130,171.15,438.85
1286,TP0001,48.2,71.93
1287,TP0024,48.1,117.41
1288,EE00022,654.34,27153.66
1289,TK00028,156.48,881.52
1290,RP00223,85.31,1900.93
1291,TUE00388,2369.31,5827.47
1292,BO00061,539.86,8730.14
1293,TUE00122,387.85,2561.16
1294,TP0040,153.85,281.87
1295,CAS00089,2514.71,14475.29
1296,RP00165,277.5,13722.5
1297,TUE00389,1541.46,5049.64
1298,TJ00037,519.45,769.55
1299,TP0022,662.99,1062.01
1300,TP0040,153.85,308.15
1301,TUA00485,264.62,958.76
1302,TUA00098,597.15,2538.78
1303,TUA00468,991.99,2820.53
1304,TP0005,194.99,1143.01
1305,TP0001,96.4,153.61
1306,TP0002,126.62,183.38
1307,TP0003,65.16,124.84
1308,TJ00095,308.87,2499.63
1309,TJ00096,257.43,2455.82
1310,TP0011,1444.0,3406.0
1311,TP0012,115.2,514.8
1312,CBS00019,2692.66,5759.74
1313,TUA00191,1318.1,1346.9
1314,TP0022,662.99,772.75
1315,TP0008,372.32,1011.08
1316,TP0009,410.41,631.67
1317,TP0010,502.72,898.92
1318,TUE00391,483.02,14671.74
1319,TP0001,48.2,76.8
1320,TEE00012,2499.93,22452.82
1321,BN00271,157.64,800.66
1322,RP00228,63.9,738.1
1323,TUA00487,1292.27,4016.84
1324,TUE00390,60.89,1331.11
1325,P114Q1H90412,3985.6,3219.92
1326,P251L1J1B000,3845.43,5594.57
1327,CBS00001,11843.56,24160.04
1328,BS00006,5618.0,17722.0
1329,BS00008,6802.89,16537.11
1330,TP0003,886.28,1063.72
1331,BB00103,337.07,1119.79
1332,ECQ-00972,6026.11,23479.89
1333,TUE00195,919.68,399.02
1334,CBS00106,286.34,723.31
1335,TU5/16X870J127V,227.18,600.41
1336,CAE00046,137.33,736.42
1337,CM16I2090A00,139.65,595.35
1338,TUA00258,1680.81,11384.19
1339,BO00061,539.86,8730.14
1340,TUE00142,448.24,1772.46
1341,TUA00490,0.0,7287.4
1342,TUA00491,0.0,13609.08
1343,BN00272,328.36,1472.33
1344,BB00102,78.25,1080.26
1345,CAS00044,2031.23,5245.25
1346,CAE00045,633.45,3188.07
1347,CS12C1025A00,775.7,4904.3
1348,TUE00166,140.88,1244.62
1349,ABRAZA01,213.85,1016.15
1350,47980249,1806.71,4073.29
1351,47980249,2695.79,6124.21
1352,47980626,499.2,631.3
1353,TP0003,237.03,227.97
1354,TEA00095,762.35,2959.75
1355,RP00229,0.0,13688.0
1356,TUE00142,293.13,1927.57
1357,CAE00047,291.13,830.57
1358,TUE00392,196.44,1105.71
1359,TP0011,288.8,681.2
1360,BO00005,1734.88,16747.9
1361,CBS00092,11537.18,24892.82
1362,ABRAZA01,213.85,1016.15
1363,TUE00207,1864.79,6360.01
1364,TP0012,57.6,257.4
1365,ECQ-00972,6311.82,23194.18
1366,TEA00006,1190.47,2359.53
1367,TUS00131,0.0,4157.7
1368,TEA00111,6681.26,9451.34
1369,TUS00052,150.59,1529.41
1370,TUA00401,720.39,1612.87
1371,TUE00206,733.23,420.07
1372,TP0011,144.4,340.6
1373,TP0012,172.8,772.2
1374,TUA00489,0.0,3045.5
1375,TU5/16X870J127V,227.18,462.44
1376,CS14D2017B20,444.27,6387.73
1377,TP0016,222.0,593.0
1378,TUA00488,1364.17,2983.73
1379,TP0005,584.96,1786.78
1380,TP0004,389.19,674.81
1381,TP0008,1226.13,1395.87
1382,CBS00107,355.52,1079.68
1383,TUE00081,414.88,1863.57
1384,TUE00393,166.8,2053.2
1385,TUE00207,2345.29,5879.51
1386,ECQ-01444,4968.0,13351.5
1387,EE00077,2212.51,21837.49
1388,ECQ-00971,721.39,1230.61
1389,ECQ-00974,1311.27,2418.73
1390,ECQ-01444,3866.04,11400.21
1391,BO00061,1079.71,17460.29
1392,TP0012,57.6,352.4
1393,TUA00494,2335.2,9474.78
1394,TUA00433,3722.84,11245.96
1395,TU5/16X203V,651.57,748.43
1396,PT00091,198.93,1235.07
1397,CAS00083,3417.8,17177.06
1398,CAS00084,1376.26,6611.64
1399,PJ31A1I1A000,1160.05,2487.8
1400,PJ31A1I1A400,1181.01,2507.09
1401,CS58R2200A01,4055.46,9519.54
1402,TUA00493,0.0,1325.07
1403,CBS00109,5337.9,26372.18
1404,ECQ-00974,1392.92,6067.08
1405,70001698,1073.25,3806.75
1406,CAS00035,2726.1,309.9
1407,RP00230,1319.88,4349.11
1408,RP00231,99.68,2200.32
1409,TUA00492,7120.54,10637.54
1410,TP0016,635.0,829.0
1411,TU5/16X230MM,226.23,773.77
1412,TUA00325,4579.08,7920.92
1413,RB00007,390.43,9095.92
1414,TP00018,153.49,1376.51
1415,BP00006,1767.02,9560.98
1416,PJ31Q1G1A400,369.62,947.83
1417,BL00002,130.63,1721.01
1418,BN00145,572.25,3248.75
1419,BN00146,843.82,3197.02
1420,PT00079,954.32,1399.82
1421,CS12F1040A00,613.88,3658.12
1422,CS12H1050A00,628.12,3683.48
1423,TUE00394,1789.64,4757.41
1424,TUA00470,1884.35,4025.49
1425,RB00007,806.55,13253.45
